traveller_id,wt_css_o,wt_css_d,cs_duration,walking_duration,public_duration,bicycling_duration,driving_duration,cs_distance,walking_distance,public_distance,bicycling_distance,driving_distance
t996,9 mins,7 mins,19 mins,1 hour 40 mins,37 mins,28 mins,21 mins,8.2 km,7.1 km,9.1 km,8.5 km,8.8 km
t997,15 mins,6 mins,12 mins,1 hour 2 mins,39 mins,17 mins,15 mins,4.7 km,4.5 km,6.8 km,5.1 km,5.8 km
t998,1 min,6 mins,19 mins,1 hour 6 mins,33 mins,18 mins,19 mins,8.7 km,4.7 km,8.3 km,4.9 km,6.7 km
t999,1 min,6 mins,19 mins,1 hour 25 mins,41 mins,20 mins,17 mins,8.8 km,6.1 km,6.9 km,6.2 km,8.2 km
t1000,9 mins,5 mins,17 mins,1 hour 23 mins,36 mins,21 mins,19 mins,6.1 km,6.0 km,9.2 km,6.7 km,6.8 km
t1001,1 min,7 mins,1 min,9 mins,9 mins,2 mins,3 mins,0.2 km,0.7 km,0.7 km,0.7 km,0.8 km
t1002,15 mins,4 mins,10 mins,57 mins,40 mins,16 mins,14 mins,5.1 km,4.1 km,7.5 km,4.4 km,6.9 km
t1003,1 min,3 mins,21 mins,1 hour 17 mins,29 mins,20 mins,21 mins,9.5 km,5.5 km,6.4 km,5.7 km,9.7 km
t1004,15 mins,8 mins,17 mins,1 hour 18 mins,38 mins,18 mins,15 mins,6.3 km,5.7 km,6.0 km,5.8 km,5.8 km
t1005,9 mins,9 mins,17 mins,1 hour 12 mins,33 mins,20 mins,18 mins,7.7 km,5.2 km,8.6 km,6.3 km,7.6 km
t1006,9 mins,5 mins,21 mins,1 hour 59 mins,48 mins,31 mins,25 mins,9.5 km,8.5 km,10.9 km,9.4 km,10.5 km
t1007,9 mins,8 mins,21 mins,1 hour 35 mins,36 mins,22 mins,23 mins,7.8 km,7.0 km,9.0 km,7.2 km,8.4 km
t1008,9 mins,11 mins,17 mins,59 mins,29 mins,16 mins,16 mins,5.3 km,4.2 km,6.5 km,4.4 km,7.0 km
t1009,9 mins,7 mins,17 mins,1 hour 11 mins,31 mins,18 mins,19 mins,5.5 km,5.1 km,6.7 km,5.8 km,6.3 km
t1010,1 min,1 min,12 mins,50 mins,31 mins,14 mins,12 mins,4.2 km,3.7 km,5.3 km,4.1 km,3.7 km
t1011,5 mins,7 mins,20 mins,1 hour 44 mins,34 mins,29 mins,19 mins,9.1 km,7.4 km,10.1 km,8.3 km,8.2 km
t1012,5 mins,9 mins,13 mins,37 mins,19 mins,9 mins,10 mins,4.3 km,2.7 km,3.8 km,2.7 km,3.3 km
t1013,5 mins,2 mins,18 mins,1 hour 26 mins,31 mins,22 mins,18 mins,6.8 km,6.2 km,8.0 km,6.9 km,6.7 km
t1014,10 mins,4 mins,16 mins,57 mins,18 mins,15 mins,13 mins,5.7 km,4.1 km,6.7 km,4.7 km,4.7 km
t1015,5 mins,3 mins,15 mins,1 hour 2 mins,30 mins,16 mins,16 mins,5.1 km,4.5 km,5.3 km,5.2 km,5.1 km
t1016,5 mins,3 mins,20 mins,1 hour 28 mins,30 mins,22 mins,19 mins,7.5 km,6.4 km,8.7 km,6.8 km,6.6 km
t1017,7 mins,2 mins,13 mins,51 mins,21 mins,13 mins,12 mins,4.2 km,3.7 km,5.1 km,4.2 km,4.0 km
t1018,7 mins,1 min,19 mins,1 hour 23 mins,26 mins,21 mins,19 mins,6.9 km,6.0 km,9.7 km,6.5 km,6.8 km
t1019,5 mins,9 mins,8 mins,28 mins,21 mins,6 mins,8 mins,2.7 km,2.0 km,2.7 km,2.0 km,2.4 km
t1020,7 mins,7 mins,16 mins,58 mins,24 mins,15 mins,13 mins,4.7 km,4.1 km,4.6 km,5.0 km,4.3 km
t1021,10 mins,9 mins,10 mins,32 mins,16 mins,10 mins,7 mins,3.3 km,2.3 km,2.6 km,2.6 km,2.4 km
t1022,10 mins,6 mins,19 mins,1 hour 40 mins,41 mins,25 mins,18 mins,8.6 km,7.2 km,13.4 km,7.4 km,8.2 km
t1023,5 mins,7 mins,14 mins,1 hour 1 min,21 mins,17 mins,17 mins,5.0 km,4.4 km,6.9 km,4.9 km,5.8 km
t1024,5 mins,6 mins,13 mins,48 mins,31 mins,13 mins,13 mins,3.9 km,3.4 km,4.7 km,3.9 km,3.9 km
t1025,5 mins,5 mins,17 mins,1 hour 12 mins,28 mins,19 mins,17 mins,5.8 km,5.2 km,7.7 km,5.8 km,5.4 km
t1026,5 mins,2 mins,13 mins,35 mins,20 mins,9 mins,11 mins,3.9 km,2.5 km,3.3 km,2.7 km,3.3 km
t1027,4 mins,3 mins,21 mins,1 hour 37 mins,29 mins,25 mins,20 mins,8.8 km,7.1 km,9.7 km,7.8 km,8.3 km
t1028,5 mins,5 mins,12 mins,44 mins,18 mins,10 mins,11 mins,3.7 km,3.1 km,3.6 km,3.5 km,3.3 km
t1029,4 mins,6 mins,8 mins,24 mins,18 mins,5 mins,7 mins,2.4 km,1.7 km,2.4 km,1.8 km,2.4 km
t1030,5 mins,7 mins,20 mins,1 hour 44 mins,40 mins,28 mins,18 mins,8.5 km,7.4 km,8.8 km,7.8 km,7.7 km
t1031,8 mins,5 mins,10 mins,58 mins,28 mins,16 mins,12 mins,4.6 km,4.2 km,5.3 km,4.6 km,5.4 km
t1032,8 mins,6 mins,19 mins,1 hour 19 mins,27 mins,20 mins,17 mins,6.8 km,5.7 km,9.8 km,6.1 km,6.5 km
t1033,5 mins,9 mins,11 mins,34 mins,21 mins,8 mins,10 mins,3.4 km,2.4 km,3.1 km,2.8 km,2.9 km
t1034,5 mins,7 mins,12 mins,55 mins,19 mins,16 mins,15 mins,4.7 km,3.9 km,5.7 km,4.3 km,5.5 km
t1035,5 mins,2 mins,17 mins,1 hour 11 mins,28 mins,20 mins,17 mins,6.4 km,5.1 km,6.5 km,6.2 km,6.2 km
t1036,8 mins,6 mins,13 mins,53 mins,17 mins,14 mins,14 mins,4.0 km,3.8 km,5.6 km,4.2 km,4.4 km
t1037,5 mins,6 mins,16 mins,1 hour 7 mins,28 mins,16 mins,15 mins,5.4 km,4.9 km,5.8 km,5.2 km,5.9 km
t1038,5 mins,4 mins,16 mins,1 hour 4 mins,28 mins,17 mins,16 mins,5.1 km,4.6 km,6.7 km,4.9 km,5.2 km
t1039,8 mins,4 mins,17 mins,1 hour 8 mins,20 mins,16 mins,17 mins,6.4 km,4.9 km,5.7 km,5.3 km,6.4 km
t1040,5 mins,1 min,18 mins,1 hour 14 mins,28 mins,19 mins,17 mins,6.1 km,5.2 km,7.9 km,5.6 km,5.8 km
t1041,5 mins,6 mins,19 mins,1 hour 41 mins,43 mins,28 mins,19 mins,8.7 km,7.2 km,9.3 km,7.7 km,8.1 km
t1042,8 mins,1 min,7 mins,9 mins,9 mins,3 mins,10 mins,2.2 km,0.6 km,0.6 km,1.1 km,2.8 km
t1043,8 mins,1 min,17 mins,1 hour 20 mins,28 mins,20 mins,18 mins,6.4 km,5.7 km,6.4 km,6.2 km,6.6 km
t1044,5 mins,1 min,4 mins,16 mins,14 mins,5 mins,5 mins,1.2 km,1.2 km,1.7 km,1.5 km,1.4 km
t1045,6 mins,10 mins,16 mins,1 hour 14 mins,28 mins,21 mins,15 mins,5.5 km,5.2 km,10.5 km,5.6 km,5.2 km
t1046,5 mins,9 mins,12 mins,56 mins,15 mins,13 mins,12 mins,4.5 km,4.1 km,5.7 km,4.1 km,4.3 km
t1047,6 mins,3 mins,21 mins,1 hour 50 mins,36 mins,34 mins,19 mins,10.8 km,7.8 km,11.6 km,9.4 km,10.4 km
t1048,5 mins,6 mins,27 mins,1 hour 57 mins,24 mins,30 mins,24 mins,13.4 km,8.4 km,9.6 km,8.9 km,9.1 km
t1049,5 mins,10 mins,26 mins,2 hours 15 mins,27 mins,34 mins,24 mins,10.9 km,9.8 km,10.6 km,10.4 km,13.5 km
t1050,2 mins,4 mins,15 mins,1 hour 4 mins,29 mins,19 mins,14 mins,5.3 km,4.5 km,5.6 km,5.1 km,5.1 km
t1051,2 mins,5 mins,18 mins,1 hour 12 mins,30 mins,18 mins,18 mins,6.5 km,5.3 km,6.8 km,5.3 km,6.7 km
t1052,4 mins,7 mins,13 mins,46 mins,18 mins,13 mins,13 mins,4.4 km,3.4 km,4.4 km,3.9 km,4.5 km
t1053,6 mins,6 mins,7 mins,15 mins,15 mins,5 mins,4 mins,1.7 km,1.0 km,1.0 km,1.1 km,1.1 km
t1054,5 mins,2 mins,23 mins,2 hours 7 mins,36 mins,33 mins,23 mins,12.0 km,9.2 km,12.8 km,9.2 km,12.1 km
t1055,4 mins,7 mins,7 mins,14 mins,14 mins,5 mins,6 mins,1.8 km,1.0 km,1.0 km,1.0 km,1.3 km
t1056,6 mins,5 mins,19 mins,1 hour 23 mins,29 mins,20 mins,17 mins,7.2 km,6.0 km,7.3 km,6.0 km,6.5 km
t1057,6 mins,5 mins,20 mins,1 hour 28 mins,31 mins,25 mins,18 mins,6.9 km,6.2 km,9.5 km,6.6 km,6.3 km
t1058,2 mins,5 mins,4 mins,13 mins,13 mins,4 mins,5 mins,0.8 km,0.9 km,0.9 km,0.9 km,1.2 km
t1059,4 mins,3 mins,24 mins,1 hour 48 mins,31 mins,28 mins,23 mins,8.4 km,7.7 km,9.4 km,8.4 km,8.1 km
t1060,6 mins,8 mins,7 mins,44 mins,14 mins,11 mins,8 mins,3.0 km,3.1 km,4.1 km,3.3 km,3.3 km
t1061,4 mins,6 mins,13 mins,1 hour 2 mins,18 mins,17 mins,13 mins,4.9 km,4.5 km,5.9 km,4.7 km,4.6 km
t1062,2 mins,8 mins,17 mins,1 hour 32 mins,28 mins,24 mins,19 mins,6.3 km,6.7 km,7.2 km,7.0 km,6.7 km
t1063,6 mins,2 mins,25 mins,1 hour 45 mins,33 mins,30 mins,22 mins,8.4 km,7.5 km,12.1 km,8.2 km,11.2 km
t1064,2 mins,8 mins,11 mins,59 mins,25 mins,17 mins,13 mins,3.9 km,4.2 km,8.2 km,4.5 km,4.5 km
t1065,2 mins,5 mins,20 mins,1 hour 25 mins,26 mins,20 mins,19 mins,7.6 km,6.2 km,7.5 km,6.2 km,6.9 km
t1066,2 mins,8 mins,8 mins,45 mins,12 mins,11 mins,11 mins,3.3 km,3.3 km,4.3 km,3.4 km,3.6 km
t1067,6 mins,9 mins,23 mins,1 hour 35 mins,32 mins,27 mins,19 mins,7.6 km,6.7 km,9.8 km,7.1 km,6.6 km
t1068,2 mins,8 mins,17 mins,1 hour 15 mins,29 mins,21 mins,16 mins,6.0 km,5.3 km,10.9 km,5.5 km,5.4 km
t1069,2 mins,11 mins,21 mins,1 hour 48 mins,40 mins,32 mins,24 mins,7.2 km,7.6 km,10.5 km,8.1 km,7.9 km
t1070,6 mins,5 mins,19 mins,1 hour 22 mins,29 mins,21 mins,17 mins,6.3 km,5.9 km,7.6 km,6.2 km,5.9 km
t1071,6 mins,5 mins,7 mins,23 mins,17 mins,7 mins,6 mins,1.8 km,1.6 km,3.6 km,1.8 km,1.8 km
t1072,6 mins,4 mins,6 mins,25 mins,11 mins,8 mins,6 mins,2.1 km,1.8 km,2.7 km,2.3 km,2.0 km
t1073,2 mins,4 mins,16 mins,1 hour 24 mins,22 mins,23 mins,18 mins,5.6 km,6.0 km,8.9 km,6.1 km,5.9 km
t1074,2 mins,6 mins,18 mins,1 hour 28 mins,26 mins,24 mins,20 mins,6.3 km,6.3 km,9.2 km,7.1 km,6.3 km
t1075,6 mins,3 mins,23 mins,1 hour 51 mins,31 mins,30 mins,23 mins,8.0 km,7.9 km,12.2 km,8.4 km,8.1 km
t1076,2 mins,4 mins,15 mins,1 hour 11 mins,17 mins,17 mins,15 mins,5.3 km,5.1 km,5.7 km,5.3 km,5.3 km
t1077,2 mins,4 mins,20 mins,1 hour 24 mins,24 mins,22 mins,19 mins,6.9 km,6.0 km,7.3 km,6.3 km,6.5 km
t1078,2 mins,5 mins,30 mins,2 hours 25 mins,37 mins,36 mins,29 mins,12.0 km,10.4 km,12.2 km,11.2 km,11.4 km
t1079,5 mins,4 mins,24 mins,2 hours 15 mins,33 mins,34 mins,24 mins,11.1 km,9.8 km,13.9 km,10.0 km,10.9 km
t1080,10 mins,2 mins,22 mins,1 hour 47 mins,31 mins,28 mins,22 mins,9.1 km,7.7 km,8.5 km,8.3 km,8.4 km
t1081,5 mins,3 mins,10 mins,41 mins,14 mins,11 mins,10 mins,3.9 km,2.9 km,3.8 km,3.2 km,3.2 km
t1082,10 mins,6 mins,11 mins,24 mins,10 mins,6 mins,9 mins,3.8 km,1.7 km,2.0 km,1.7 km,2.8 km
t1083,9 mins,9 mins,11 mins,50 mins,21 mins,13 mins,10 mins,4.7 km,3.6 km,5.1 km,3.7 km,3.8 km
t1084,5 mins,6 mins,10 mins,54 mins,16 mins,14 mins,10 mins,3.9 km,3.8 km,4.5 km,4.3 km,4.1 km
t1085,10 mins,13 mins,17 mins,56 mins,25 mins,15 mins,17 mins,6.9 km,4.1 km,7.8 km,4.2 km,5.3 km
t1086,10 mins,12 mins,12 mins,49 mins,16 mins,13 mins,11 mins,4.9 km,3.5 km,4.7 km,3.6 km,3.9 km
t1087,5 mins,7 mins,8 mins,6 mins,6 mins,2 mins,5 mins,2.4 km,0.4 km,0.4 km,0.4 km,1.4 km
t1088,8 mins,7 mins,12 mins,1 hour 8 mins,16 mins,17 mins,13 mins,5.1 km,5.0 km,4.9 km,5.1 km,5.9 km
t1089,5 mins,6 mins,17 mins,54 mins,21 mins,14 mins,15 mins,5.6 km,3.9 km,7.8 km,4.2 km,5.5 km
t1090,8 mins,7 mins,15 mins,52 mins,17 mins,13 mins,14 mins,6.0 km,3.8 km,7.3 km,4.0 km,4.4 km
t1091,8 mins,9 mins,11 mins,48 mins,20 mins,12 mins,11 mins,4.6 km,3.5 km,7.6 km,3.5 km,3.9 km
t1092,9 mins,8 mins,6 mins,27 mins,13 mins,8 mins,6 mins,1.9 km,2.0 km,3.2 km,2.2 km,1.9 km
t1093,10 mins,1 min,7 mins,34 mins,11 mins,8 mins,8 mins,2.2 km,2.5 km,2.5 km,2.5 km,2.5 km
t1094,5 mins,9 mins,13 mins,48 mins,17 mins,13 mins,9 mins,4.4 km,3.4 km,3.9 km,4.0 km,3.8 km
t1095,5 mins,3 mins,9 mins,37 mins,17 mins,9 mins,8 mins,2.9 km,2.7 km,3.5 km,2.7 km,2.7 km
t1096,9 mins,8 mins,18 mins,1 hour 30 mins,36 mins,23 mins,18 mins,7.7 km,6.5 km,7.8 km,6.9 km,6.9 km
t1097,5 mins,5 mins,13 mins,45 mins,14 mins,12 mins,13 mins,4.3 km,3.3 km,3.5 km,3.6 km,4.3 km
t1098,10 mins,1 min,11 mins,28 mins,14 mins,8 mins,9 mins,3.5 km,2.0 km,3.0 km,2.6 km,2.8 km
t1099,9 mins,7 mins,6 mins,13 mins,7 mins,4 mins,4 mins,1.7 km,1.0 km,1.2 km,1.0 km,1.5 km
t1100,9 mins,9 mins,10 mins,31 mins,13 mins,8 mins,8 mins,3.2 km,2.2 km,2.8 km,2.5 km,2.7 km
t1101,4 mins,2 mins,24 mins,1 hour 47 mins,41 mins,28 mins,23 mins,8.5 km,7.8 km,11.5 km,8.1 km,8.4 km
t1102,4 mins,9 mins,21 mins,1 hour 45 mins,44 mins,28 mins,22 mins,8.2 km,7.6 km,9.3 km,8.2 km,9.1 km
t1103,4 mins,7 mins,18 mins,1 hour 7 mins,30 mins,18 mins,16 mins,6.0 km,4.8 km,7.6 km,5.2 km,5.4 km
t1104,4 mins,4 mins,10 mins,31 mins,20 mins,9 mins,9 mins,3.3 km,2.3 km,2.5 km,2.9 km,3.1 km
t1105,4 mins,2 mins,5 mins,23 mins,21 mins,6 mins,5 mins,1.6 km,1.6 km,2.2 km,1.8 km,1.7 km
t1106,4 mins,6 mins,18 mins,1 hour 22 mins,35 mins,26 mins,21 mins,6.9 km,5.9 km,7.4 km,6.7 km,8.5 km
t1107,4 mins,6 mins,11 mins,54 mins,25 mins,15 mins,11 mins,4.1 km,3.9 km,8.7 km,4.1 km,4.2 km
t1108,4 mins,10 mins,18 mins,1 hour 5 mins,18 mins,18 mins,15 mins,5.8 km,4.7 km,5.7 km,4.9 km,5.1 km
t1109,4 mins,1 min,17 mins,1 hour 20 mins,34 mins,20 mins,17 mins,6.3 km,5.8 km,7.7 km,5.9 km,6.3 km
t1110,4 mins,4 mins,5 mins,15 mins,7 mins,5 mins,5 mins,1.6 km,1.1 km,1.2 km,1.6 km,1.6 km
t1111,4 mins,2 mins,12 mins,44 mins,22 mins,12 mins,11 mins,4.1 km,3.2 km,6.0 km,3.7 km,4.0 km
t1112,4 mins,1 min,13 mins,1 hour 0 mins,17 mins,14 mins,12 mins,4.3 km,4.4 km,5.2 km,4.4 km,4.4 km
t1113,4 mins,5 mins,13 mins,43 mins,23 mins,14 mins,10 mins,4.5 km,3.1 km,4.2 km,4.0 km,4.0 km
t1114,4 mins,3 mins,12 mins,57 mins,23 mins,15 mins,12 mins,4.6 km,4.1 km,4.9 km,4.5 km,4.1 km
t1115,4 mins,10 mins,25 mins,2 hours 17 mins,31 mins,36 mins,27 mins,10.8 km,10.0 km,13.7 km,10.6 km,11.3 km
t1116,4 mins,1 min,12 mins,53 mins,16 mins,13 mins,11 mins,4.2 km,3.8 km,4.5 km,3.9 km,3.9 km
t1117,4 mins,11 mins,14 mins,59 mins,26 mins,19 mins,12 mins,4.8 km,4.2 km,7.3 km,4.3 km,4.0 km
t1118,4 mins,4 mins,14 mins,1 hour 3 mins,29 mins,19 mins,15 mins,5.1 km,4.5 km,6.5 km,5.1 km,5.3 km
t1119,4 mins,4 mins,9 mins,39 mins,15 mins,11 mins,9 mins,2.8 km,2.8 km,3.3 km,3.1 km,2.8 km
t1120,8 mins,4 mins,16 mins,1 hour 6 mins,24 mins,17 mins,13 mins,5.8 km,4.8 km,7.3 km,5.4 km,5.2 km
t1121,4 mins,4 mins,7 mins,18 mins,9 mins,5 mins,6 mins,1.8 km,1.3 km,1.6 km,1.3 km,1.7 km
t1122,4 mins,2 mins,14 mins,53 mins,23 mins,13 mins,14 mins,4.9 km,3.8 km,7.7 km,3.9 km,5.1 km
t1123,4 mins,3 mins,10 mins,39 mins,21 mins,11 mins,10 mins,3.4 km,2.8 km,3.7 km,3.5 km,3.4 km
t1124,4 mins,1 min,8 mins,27 mins,14 mins,8 mins,8 mins,2.5 km,2.0 km,2.7 km,2.4 km,2.8 km
t1125,4 mins,6 mins,11 mins,50 mins,21 mins,13 mins,12 mins,3.7 km,3.6 km,4.2 km,3.7 km,3.7 km
t1126,4 mins,3 mins,11 mins,58 mins,20 mins,16 mins,11 mins,4.4 km,4.2 km,4.6 km,4.8 km,4.3 km
t1127,3 mins,5 mins,12 mins,43 mins,26 mins,12 mins,10 mins,3.9 km,3.1 km,3.6 km,3.4 km,3.4 km
t1128,6 mins,6 mins,17 mins,1 hour 28 mins,41 mins,26 mins,18 mins,7.2 km,6.4 km,10.9 km,7.5 km,7.9 km
t1129,3 mins,4 mins,14 mins,1 hour 5 mins,26 mins,17 mins,14 mins,6.3 km,4.7 km,8.5 km,5.4 km,5.7 km
t1130,6 mins,4 mins,9 mins,31 mins,17 mins,8 mins,9 mins,3.0 km,2.3 km,3.5 km,2.3 km,2.8 km
t1131,3 mins,4 mins,7 mins,27 mins,15 mins,9 mins,7 mins,2.3 km,2.0 km,2.6 km,2.6 km,2.2 km
t1132,6 mins,10 mins,15 mins,1 hour 21 mins,30 mins,19 mins,12 mins,6.5 km,5.9 km,8.4 km,5.9 km,6.2 km
t1133,3 mins,1 min,21 mins,1 hour 35 mins,40 mins,25 mins,21 mins,8.5 km,7.0 km,9.5 km,7.7 km,8.6 km
t1134,6 mins,9 mins,10 mins,54 mins,20 mins,13 mins,10 mins,4.4 km,3.9 km,4.5 km,4.2 km,4.7 km
t1135,6 mins,1 min,14 mins,1 hour 20 mins,20 mins,20 mins,14 mins,6.0 km,5.7 km,6.7 km,5.7 km,6.1 km
t1136,6 mins,5 mins,9 mins,35 mins,14 mins,9 mins,7 mins,3.6 km,2.5 km,2.8 km,2.9 km,3.4 km
t1137,6 mins,1 min,16 mins,1 hour 28 mins,33 mins,22 mins,16 mins,6.6 km,6.4 km,7.4 km,6.6 km,6.7 km
t1138,3 mins,3 mins,12 mins,50 mins,23 mins,13 mins,11 mins,4.2 km,3.6 km,3.9 km,3.8 km,4.1 km
t1139,3 mins,2 mins,21 mins,1 hour 58 mins,44 mins,29 mins,21 mins,8.8 km,8.6 km,9.1 km,8.4 km,8.9 km
t1140,3 mins,9 mins,11 mins,53 mins,22 mins,14 mins,11 mins,4.6 km,3.8 km,3.8 km,4.1 km,4.9 km
t1141,6 mins,3 mins,7 mins,25 mins,13 mins,8 mins,7 mins,2.5 km,1.8 km,2.2 km,2.0 km,2.4 km
t1142,3 mins,7 mins,16 mins,1 hour 12 mins,21 mins,19 mins,18 mins,6.5 km,5.3 km,5.5 km,5.9 km,6.4 km
t1143,8 mins,5 mins,15 mins,1 hour 6 mins,25 mins,17 mins,15 mins,4.6 km,4.8 km,6.3 km,5.0 km,5.6 km
t1144,6 mins,1 min,14 mins,1 hour 0 mins,25 mins,15 mins,14 mins,4.5 km,4.4 km,6.0 km,4.5 km,4.6 km
t1145,8 mins,5 mins,10 mins,41 mins,18 mins,11 mins,14 mins,3.5 km,3.0 km,4.0 km,3.3 km,4.3 km
t1146,8 mins,2 mins,15 mins,1 hour 10 mins,37 mins,17 mins,15 mins,5.8 km,5.1 km,6.7 km,5.3 km,5.7 km
t1147,8 mins,5 mins,18 mins,1 hour 25 mins,25 mins,23 mins,18 mins,6.8 km,6.2 km,6.4 km,6.7 km,6.8 km
t1148,8 mins,3 mins,16 mins,1 hour 1 min,16 mins,17 mins,14 mins,5.4 km,4.4 km,5.6 km,4.6 km,4.9 km
t1149,8 mins,5 mins,8 mins,29 mins,17 mins,7 mins,5 mins,2.9 km,2.1 km,2.4 km,2.2 km,2.1 km
t1150,5 mins,5 mins,9 mins,32 mins,9 mins,9 mins,8 mins,3.2 km,2.3 km,2.5 km,2.3 km,3.1 km
t1151,6 mins,6 mins,1 min,8 mins,8 mins,2 mins,2 mins,0.3 km,0.6 km,0.6 km,0.6 km,0.6 km
t1152,8 mins,7 mins,19 mins,1 hour 36 mins,31 mins,27 mins,21 mins,7.7 km,6.9 km,7.7 km,7.6 km,7.7 km
t1153,8 mins,9 mins,14 mins,54 mins,19 mins,15 mins,13 mins,4.4 km,3.9 km,5.0 km,4.2 km,4.5 km
t1154,6 mins,3 mins,9 mins,34 mins,16 mins,8 mins,8 mins,2.3 km,2.4 km,4.0 km,2.4 km,2.4 km
t1155,6 mins,2 mins,13 mins,49 mins,26 mins,11 mins,12 mins,4.8 km,3.6 km,7.5 km,3.6 km,4.4 km
t1156,5 mins,6 mins,8 mins,31 mins,10 mins,8 mins,6 mins,2.6 km,2.3 km,2.6 km,2.3 km,2.3 km
t1157,6 mins,7 mins,6 mins,24 mins,20 mins,6 mins,7 mins,1.4 km,1.8 km,2.4 km,2.2 km,2.2 km
t1158,5 mins,2 mins,14 mins,1 hour 3 mins,22 mins,18 mins,14 mins,4.8 km,4.5 km,6.9 km,5.7 km,6.0 km
t1159,6 mins,6 mins,12 mins,38 mins,18 mins,9 mins,9 mins,3.6 km,2.8 km,3.1 km,2.7 km,2.7 km
t1160,6 mins,3 mins,15 mins,55 mins,23 mins,13 mins,12 mins,5.2 km,4.0 km,4.2 km,3.9 km,3.9 km
t1161,7 mins,5 mins,13 mins,57 mins,30 mins,14 mins,13 mins,4.2 km,4.1 km,6.0 km,4.4 km,4.7 km
t1162,8 mins,7 mins,13 mins,37 mins,26 mins,11 mins,10 mins,3.5 km,2.7 km,4.2 km,3.2 km,3.0 km
t1163,6 mins,2 mins,16 mins,1 hour 8 mins,28 mins,16 mins,13 mins,6.3 km,4.9 km,6.2 km,5.0 km,5.5 km
t1164,7 mins,6 mins,12 mins,22 mins,14 mins,7 mins,6 mins,3.8 km,1.6 km,2.0 km,2.0 km,2.0 km
t1165,9 mins,15 mins,14 mins,46 mins,25 mins,13 mins,12 mins,5.1 km,3.3 km,4.6 km,3.7 km,3.9 km
t1166,4 mins,9 mins,8 mins,27 mins,14 mins,8 mins,7 mins,2.2 km,1.9 km,2.4 km,2.3 km,2.5 km
t1167,8 mins,9 mins,13 mins,1 hour 10 mins,30 mins,18 mins,18 mins,4.8 km,5.0 km,5.8 km,5.4 km,6.2 km
t1168,3 mins,7 mins,19 mins,1 hour 13 mins,30 mins,20 mins,15 mins,6.5 km,5.2 km,6.7 km,5.6 km,5.6 km
t1169,9 mins,4 mins,11 mins,1 hour 8 mins,25 mins,19 mins,13 mins,4.8 km,4.8 km,5.2 km,5.5 km,5.5 km
t1170,7 mins,4 mins,11 mins,12 mins,6 mins,3 mins,3 mins,3.3 km,0.9 km,1.1 km,0.9 km,0.9 km
t1171,6 mins,3 mins,13 mins,53 mins,29 mins,14 mins,11 mins,4.5 km,3.8 km,5.6 km,4.0 km,4.3 km
t1172,9 mins,5 mins,14 mins,38 mins,23 mins,9 mins,8 mins,4.8 km,2.7 km,3.2 km,2.7 km,2.8 km
t1173,8 mins,6 mins,15 mins,1 hour 4 mins,22 mins,18 mins,14 mins,4.9 km,4.6 km,4.5 km,5.0 km,5.1 km
t1174,8 mins,11 mins,5 mins,21 mins,13 mins,5 mins,6 mins,1.1 km,1.6 km,1.6 km,1.6 km,1.9 km
t1175,3 mins,1 min,16 mins,1 hour 9 mins,28 mins,18 mins,16 mins,5.0 km,5.0 km,5.9 km,5.2 km,6.1 km
t1176,4 mins,2 mins,17 mins,1 hour 21 mins,29 mins,21 mins,18 mins,7.3 km,6.0 km,8.3 km,6.4 km,6.8 km
t1177,8 mins,3 mins,9 mins,33 mins,23 mins,10 mins,8 mins,2.5 km,2.4 km,3.7 km,2.4 km,2.4 km
t1178,4 mins,7 mins,16 mins,1 hour 7 mins,23 mins,17 mins,13 mins,6.7 km,4.9 km,5.2 km,5.1 km,4.8 km
t1179,9 mins,8 mins,9 mins,47 mins,13 mins,13 mins,13 mins,2.9 km,3.4 km,3.9 km,3.7 km,4.0 km
t1180,4 mins,9 mins,10 mins,34 mins,12 mins,11 mins,8 mins,3.0 km,2.4 km,2.6 km,3.2 km,2.8 km
t1181,3 mins,4 mins,10 mins,5 mins,5 mins,2 mins,3 mins,3.0 km,0.4 km,0.4 km,0.6 km,0.6 km
t1182,8 mins,6 mins,22 mins,1 hour 42 mins,42 mins,26 mins,22 mins,8.4 km,7.4 km,9.0 km,7.8 km,7.8 km
t1183,1 min,3 mins,9 mins,41 mins,20 mins,12 mins,9 mins,3.1 km,3.0 km,5.5 km,3.2 km,3.2 km
t1184,7 mins,5 mins,6 mins,26 mins,12 mins,6 mins,6 mins,1.9 km,1.8 km,2.0 km,1.9 km,1.9 km
t1185,7 mins,8 mins,7 mins,16 mins,9 mins,5 mins,4 mins,1.7 km,1.2 km,1.4 km,1.3 km,1.2 km
t1186,4 mins,8 mins,10 mins,44 mins,26 mins,10 mins,11 mins,3.6 km,3.2 km,6.4 km,3.3 km,4.1 km
t1187,7 mins,4 mins,10 mins,36 mins,17 mins,9 mins,8 mins,3.4 km,2.6 km,3.0 km,2.7 km,2.7 km
t1188,1 min,1 min,16 mins,1 hour 14 mins,26 mins,19 mins,16 mins,5.5 km,5.3 km,5.8 km,5.5 km,5.5 km
t1189,4 mins,6 mins,8 mins,35 mins,22 mins,10 mins,8 mins,2.6 km,2.5 km,3.4 km,2.9 km,2.9 km
t1190,1 min,2 mins,12 mins,46 mins,17 mins,12 mins,11 mins,4.6 km,3.4 km,6.5 km,3.7 km,3.6 km
