css_o,css_d,distance,duration
CS53,CS13,1.3 km,4 mins
CS53,CS14,3.7 km,8 mins
CS53,CS15,2.0 km,6 mins
CS53,CS16,8.2 km,20 mins
CS53,CS17,6.6 km,16 mins
CS53,CS18,6.6 km,15 mins
CS53,CS19,6.5 km,16 mins
CS53,CS20,5.3 km,12 mins
CS53,CS21,6.9 km,16 mins
CS53,CS22,5.7 km,14 mins
CS53,CS23,5.9 km,14 mins
CS53,CS24,6.1 km,13 mins
CS53,CS25,4.3 km,10 mins
CS53,CS26,4.2 km,12 mins
CS53,CS27,4.4 km,10 mins
CS53,CS28,3.7 km,10 mins
CS53,CS29,3.0 km,6 mins
CS53,CS30,0.6 km,3 mins
CS53,CS31,4.1 km,9 mins
CS53,CS32,3.6 km,9 mins
CS53,CS33,3.0 km,9 mins
CS53,CS34,4.6 km,11 mins
CS53,CS35,4.6 km,11 mins
CS53,CS36,2.0 km,6 mins
CS53,CS37,3.2 km,8 mins
CS53,CS38,2.7 km,6 mins
CS53,CS39,2.5 km,8 mins
CS53,CS40,6.3 km,14 mins
CS53,CS41,6.0 km,14 mins
CS53,CS42,6.4 km,14 mins
CS53,CS43,7.1 km,16 mins
CS53,CS44,7.5 km,17 mins
CS53,CS45,6.3 km,14 mins
CS53,CS46,7.4 km,16 mins
CS53,CS47,6.5 km,15 mins
CS53,CS48,6.4 km,14 mins
CS53,CS49,7.1 km,17 mins
CS53,CS50,7.2 km,17 mins
CS53,CS51,1.5 km,4 mins
CS53,CS52,2.3 km,7 mins
CS53,CS54,2.6 km,8 mins
CS53,CS55,3.8 km,9 mins
CS53,CS56,2.4 km,6 mins
CS53,CS57,3.4 km,11 mins
CS53,CS58,2.8 km,8 mins
CS53,CS59,5.3 km,13 mins
CS53,CS60,4.9 km,12 mins
CS53,CS61,2.1 km,7 mins
CS53,CS62,2.7 km,8 mins
CS53,CS63,10.8 km,22 mins
CS53,CS64,11.7 km,26 mins
CS53,CS65,6.3 km,14 mins
CS53,CS66,6.2 km,16 mins
CS53,CS67,5.4 km,13 mins
CS53,CS68,4.9 km,11 mins
CS53,CS69,7.2 km,17 mins
CS53,CS70,6.4 km,16 mins
CS53,CS71,5.6 km,13 mins
CS53,CS72,6.7 km,16 mins
CS53,CS73,5.1 km,12 mins
CS53,CS74,6.2 km,15 mins
CS53,CS75,6.5 km,16 mins
CS53,CS76,7.2 km,18 mins
CS53,CS77,8.5 km,21 mins
CS53,CS78,8.7 km,19 mins
CS53,CS79,3.9 km,12 mins
CS53,CS80,5.8 km,18 mins
CS53,CS81,4.1 km,13 mins
CS53,CS82,4.9 km,15 mins
CS53,CS83,4.8 km,15 mins
CS53,CS84,5.1 km,13 mins
CS53,CS85,3.7 km,9 mins
CS53,CS86,4.6 km,14 mins
CS53,CS87,6.8 km,16 mins
CS53,CS88,2.5 km,7 mins
CS53,CS89,3.1 km,9 mins
CS53,CS90,1.1 km,3 mins
CS53,CS91,2.7 km,7 mins
CS53,CS92,4.6 km,11 mins
CS53,CS93,5.8 km,13 mins
CS53,CS94,4.0 km,8 mins
CS53,CS95,5.9 km,15 mins
CS53,CS96,5.7 km,15 mins
CS53,CS97,4.8 km,11 mins
CS53,CS98,5.5 km,14 mins
CS53,CS99,5.1 km,13 mins
CS54,CS0,6.8 km,18 mins
CS54,CS1,9.3 km,22 mins
CS54,CS2,7.7 km,19 mins
CS54,CS3,10.2 km,25 mins
CS54,CS4,8.3 km,22 mins
CS54,CS5,6.4 km,16 mins
CS54,CS6,6.9 km,18 mins
CS54,CS7,7.4 km,20 mins
CS54,CS8,8.5 km,21 mins
CS54,CS9,8.9 km,21 mins
CS54,CS10,7.0 km,18 mins
CS54,CS11,2.1 km,6 mins
CS54,CS12,2.4 km,6 mins
CS54,CS13,4.8 km,11 mins
CS54,CS14,5.1 km,13 mins
CS54,CS15,4.8 km,13 mins
CS54,CS16,6.2 km,20 mins
CS54,CS17,5.0 km,15 mins
CS54,CS18,5.0 km,15 mins
CS54,CS19,3.5 km,10 mins
CS54,CS20,4.8 km,13 mins
CS54,CS21,4.5 km,14 mins
CS54,CS22,5.2 km,16 mins
CS54,CS23,3.0 km,8 mins
CS54,CS24,3.0 km,8 mins
CS54,CS25,3.3 km,9 mins
CS54,CS26,5.2 km,15 mins
CS54,CS27,4.2 km,12 mins
CS54,CS28,4.9 km,16 mins
CS54,CS29,2.7 km,9 mins
CS54,CS30,3.1 km,11 mins
CS54,CS31,3.6 km,12 mins
CS54,CS32,3.4 km,11 mins
CS54,CS33,4.5 km,14 mins
CS54,CS34,4.4 km,13 mins
CS54,CS35,4.4 km,14 mins
CS54,CS36,2.3 km,9 mins
CS54,CS37,4.6 km,15 mins
CS54,CS38,2.3 km,9 mins
CS54,CS39,3.5 km,12 mins
CS54,CS40,3.3 km,9 mins
CS54,CS41,4.6 km,10 mins
CS54,CS42,5.0 km,10 mins
CS54,CS43,6.6 km,17 mins
CS54,CS44,7.0 km,18 mins
CS54,CS45,5.8 km,15 mins
CS54,CS46,6.9 km,17 mins
CS54,CS47,6.0 km,16 mins
CS54,CS48,5.9 km,16 mins
CS54,CS49,3.8 km,10 mins
CS54,CS50,3.9 km,10 mins
CS54,CS51,2.4 km,8 mins
CS54,CS52,1.8 km,5 mins
CS54,CS53,2.6 km,9 mins
CS54,CS55,2.4 km,8 mins
CS54,CS56,1.4 km,6 mins
CS54,CS57,1.9 km,6 mins
CS54,CS58,0.2 km,1 min
CS54,CS59,2.2 km,7 mins
CS54,CS60,1.6 km,5 mins
CS54,CS61,0.8 km,4 mins
CS54,CS62,0.3 km,1 min
CS54,CS63,10.3 km,24 mins
CS54,CS64,11.2 km,27 mins
CS54,CS65,3.2 km,9 mins
CS54,CS66,3.0 km,9 mins
CS54,CS67,2.2 km,6 mins
CS54,CS68,1.2 km,5 mins
CS54,CS69,4.3 km,11 mins
CS54,CS70,3.2 km,9 mins
CS54,CS71,2.6 km,8 mins
CS54,CS72,3.0 km,9 mins
CS54,CS73,1.3 km,5 mins
CS54,CS74,2.9 km,8 mins
CS54,CS75,3.2 km,9 mins
CS54,CS76,6.9 km,21 mins
CS54,CS77,9.0 km,22 mins
CS54,CS78,7.8 km,22 mins
CS54,CS79,4.9 km,16 mins
CS54,CS80,6.9 km,21 mins
CS54,CS81,5.2 km,15 mins
CS54,CS82,5.9 km,18 mins
CS54,CS83,5.9 km,19 mins
CS54,CS84,6.0 km,19 mins
CS54,CS85,6.1 km,16 mins
CS54,CS86,5.6 km,18 mins
CS54,CS87,7.6 km,23 mins
CS54,CS88,4.8 km,14 mins
CS54,CS89,5.5 km,16 mins
CS54,CS90,3.4 km,10 mins
CS54,CS91,5.0 km,14 mins
CS54,CS92,4.4 km,14 mins
CS54,CS93,5.3 km,14 mins
CS54,CS94,3.6 km,10 mins
CS54,CS95,5.4 km,16 mins
CS54,CS96,5.6 km,17 mins
CS54,CS97,4.3 km,12 mins
CS54,CS98,5.5 km,16 mins
CS54,CS99,4.7 km,14 mins
CS55,CS0,4.9 km,15 mins
CS55,CS1,7.5 km,19 mins
CS55,CS2,5.9 km,16 mins
CS55,CS3,8.4 km,22 mins
CS55,CS4,6.5 km,19 mins
CS55,CS5,4.5 km,13 mins
CS55,CS6,5.1 km,15 mins
CS55,CS7,5.6 km,17 mins
CS55,CS8,6.7 km,18 mins
CS55,CS9,7.1 km,18 mins
CS55,CS10,5.2 km,15 mins
CS55,CS11,4.2 km,13 mins
CS55,CS12,4.5 km,13 mins
CS55,CS13,4.8 km,11 mins
CS55,CS14,6.4 km,13 mins
CS55,CS15,5.8 km,14 mins
CS55,CS16,5.9 km,18 mins
CS55,CS17,4.3 km,14 mins
CS55,CS18,4.2 km,14 mins
CS55,CS19,4.2 km,14 mins
CS55,CS20,3.0 km,10 mins
CS55,CS21,4.6 km,15 mins
CS55,CS22,3.4 km,12 mins
CS55,CS23,3.6 km,12 mins
CS55,CS24,3.8 km,12 mins
CS55,CS25,2.0 km,8 mins
CS55,CS26,3.6 km,13 mins
CS55,CS27,2.2 km,8 mins
CS55,CS28,5.1 km,16 mins
CS55,CS29,2.3 km,7 mins
CS55,CS30,3.4 km,10 mins
CS55,CS31,2.5 km,9 mins
CS55,CS32,2.9 km,9 mins
CS55,CS33,4.6 km,14 mins
CS55,CS34,3.7 km,12 mins
CS55,CS35,3.0 km,10 mins
CS55,CS36,2.9 km,8 mins
CS55,CS37,4.8 km,14 mins
CS55,CS38,2.0 km,6 mins
CS55,CS39,3.6 km,11 mins
CS55,CS40,4.0 km,13 mins
CS55,CS41,6.3 km,16 mins
CS55,CS42,6.7 km,16 mins
CS55,CS43,4.8 km,14 mins
CS55,CS44,5.2 km,15 mins
CS55,CS45,3.9 km,12 mins
CS55,CS46,5.1 km,14 mins
CS55,CS47,4.2 km,13 mins
CS55,CS48,4.1 km,13 mins
CS55,CS49,5.2 km,16 mins
CS55,CS50,5.3 km,16 mins
CS55,CS51,4.1 km,9 mins
CS55,CS52,3.7 km,10 mins
CS55,CS53,3.9 km,10 mins
CS55,CS54,2.4 km,9 mins
CS55,CS56,2.0 km,6 mins
CS55,CS57,1.1 km,5 mins
CS55,CS58,2.3 km,8 mins
CS55,CS59,3.0 km,11 mins
CS55,CS60,3.0 km,10 mins
CS55,CS61,1.7 km,7 mins
CS55,CS62,2.4 km,8 mins
CS55,CS63,8.5 km,21 mins
CS55,CS64,9.4 km,24 mins
CS55,CS65,3.9 km,12 mins
CS55,CS66,4.3 km,14 mins
CS55,CS67,3.5 km,11 mins
CS55,CS68,3.0 km,10 mins
CS55,CS69,4.9 km,15 mins
CS55,CS70,4.5 km,14 mins
CS55,CS71,3.3 km,11 mins
CS55,CS72,4.8 km,14 mins
CS55,CS73,3.2 km,10 mins
CS55,CS74,4.3 km,13 mins
CS55,CS75,4.6 km,14 mins
CS55,CS76,5.0 km,16 mins
CS55,CS77,6.3 km,19 mins
CS55,CS78,5.8 km,18 mins
CS55,CS79,5.1 km,15 mins
CS55,CS80,6.5 km,20 mins
CS55,CS81,4.8 km,13 mins
CS55,CS82,5.5 km,17 mins
CS55,CS83,5.7 km,18 mins
CS55,CS84,6.3 km,17 mins
CS55,CS85,7.3 km,17 mins
CS55,CS86,5.2 km,17 mins
CS55,CS87,7.3 km,21 mins
CS55,CS88,6.0 km,14 mins
CS55,CS89,6.7 km,16 mins
CS55,CS90,4.6 km,11 mins
CS55,CS91,6.3 km,15 mins
CS55,CS92,2.8 km,10 mins
CS55,CS93,3.5 km,11 mins
CS55,CS94,1.7 km,7 mins
CS55,CS95,3.5 km,13 mins
CS55,CS96,3.6 km,13 mins
CS55,CS97,2.5 km,9 mins
CS55,CS98,3.3 km,12 mins
CS55,CS99,2.9 km,11 mins
CS56,CS0,5.6 km,15 mins
CS56,CS1,8.1 km,18 mins
CS56,CS2,6.5 km,16 mins
CS56,CS3,9.0 km,21 mins
CS56,CS4,7.1 km,18 mins
CS56,CS5,5.2 km,13 mins
CS56,CS6,5.7 km,14 mins
CS56,CS7,6.2 km,16 mins
CS56,CS8,7.3 km,17 mins
CS56,CS9,7.7 km,18 mins
CS56,CS10,5.8 km,14 mins
CS56,CS11,3.0 km,9 mins
CS56,CS12,4.1 km,9 mins
CS56,CS13,3.0 km,7 mins
CS56,CS14,4.6 km,9 mins
CS56,CS15,4.0 km,9 mins
CS56,CS16,6.5 km,18 mins
CS56,CS17,4.9 km,14 mins
CS56,CS18,4.9 km,13 mins
CS56,CS19,4.8 km,13 mins
CS56,CS20,3.6 km,10 mins
CS56,CS21,5.2 km,14 mins
CS56,CS22,4.0 km,12 mins
CS56,CS23,4.2 km,12 mins
CS56,CS24,4.4 km,11 mins
CS56,CS25,2.6 km,8 mins
CS56,CS26,4.1 km,11 mins
CS56,CS27,2.7 km,8 mins
CS56,CS28,3.8 km,11 mins
CS56,CS29,1.3 km,4 mins
CS56,CS30,2.0 km,6 mins
CS56,CS31,2.4 km,7 mins
CS56,CS32,1.9 km,6 mins
CS56,CS33,3.4 km,10 mins
CS56,CS34,2.9 km,9 mins
CS56,CS35,2.9 km,9 mins
CS56,CS36,1.0 km,3 mins
CS56,CS37,3.5 km,10 mins
CS56,CS38,1.0 km,3 mins
CS56,CS39,2.4 km,7 mins
CS56,CS40,4.6 km,12 mins
CS56,CS41,6.8 km,15 mins
CS56,CS42,7.2 km,15 mins
CS56,CS43,5.4 km,14 mins
CS56,CS44,5.8 km,14 mins
CS56,CS45,4.6 km,11 mins
CS56,CS46,5.7 km,14 mins
CS56,CS47,4.8 km,12 mins
CS56,CS48,4.7 km,12 mins
CS56,CS49,5.0 km,15 mins
CS56,CS50,5.1 km,15 mins
CS56,CS51,1.5 km,5 mins
CS56,CS52,1.7 km,6 mins
CS56,CS53,2.1 km,5 mins
CS56,CS54,1.4 km,6 mins
CS56,CS55,2.1 km,6 mins
CS56,CS57,2.1 km,8 mins
CS56,CS58,1.6 km,6 mins
CS56,CS59,3.6 km,11 mins
CS56,CS60,2.8 km,9 mins
CS56,CS61,0.6 km,2 mins
CS56,CS62,1.7 km,7 mins
CS56,CS63,9.1 km,20 mins
CS56,CS64,10.0 km,24 mins
CS56,CS65,4.6 km,11 mins
CS56,CS66,4.1 km,13 mins
CS56,CS67,3.4 km,10 mins
CS56,CS68,2.9 km,9 mins
CS56,CS69,5.5 km,14 mins
CS56,CS70,4.4 km,13 mins
CS56,CS71,3.9 km,11 mins
CS56,CS72,4.6 km,14 mins
CS56,CS73,3.1 km,10 mins
CS56,CS74,4.1 km,12 mins
CS56,CS75,4.4 km,13 mins
CS56,CS76,5.5 km,16 mins
CS56,CS77,7.8 km,18 mins
CS56,CS78,6.3 km,17 mins
CS56,CS79,3.8 km,11 mins
CS56,CS80,5.7 km,17 mins
CS56,CS81,3.8 km,10 mins
CS56,CS82,4.8 km,14 mins
CS56,CS83,4.7 km,14 mins
CS56,CS84,4.9 km,14 mins
CS56,CS85,5.5 km,13 mins
CS56,CS86,4.5 km,13 mins
CS56,CS87,6.5 km,18 mins
CS56,CS88,4.2 km,10 mins
CS56,CS89,4.9 km,12 mins
CS56,CS90,2.8 km,6 mins
CS56,CS91,4.5 km,10 mins
CS56,CS92,2.9 km,9 mins
CS56,CS93,4.1 km,11 mins
CS56,CS94,2.3 km,6 mins
CS56,CS95,4.2 km,13 mins
CS56,CS96,4.0 km,13 mins
CS56,CS97,3.1 km,9 mins
CS56,CS98,3.8 km,12 mins
CS56,CS99,3.4 km,10 mins
CS57,CS0,5.3 km,16 mins
CS57,CS1,7.9 km,19 mins
CS57,CS2,6.3 km,17 mins
CS57,CS3,8.8 km,23 mins
CS57,CS4,6.9 km,20 mins
CS57,CS5,4.9 km,14 mins
CS57,CS6,5.5 km,16 mins
CS57,CS7,6.0 km,18 mins
CS57,CS8,7.1 km,18 mins
CS57,CS9,7.5 km,19 mins
CS57,CS10,5.6 km,15 mins
CS57,CS11,3.6 km,11 mins
CS57,CS12,3.9 km,11 mins
CS57,CS13,4.0 km,12 mins
CS57,CS14,5.6 km,15 mins
CS57,CS15,5.0 km,15 mins
CS57,CS16,5.7 km,19 mins
CS57,CS17,4.5 km,15 mins
CS57,CS18,4.5 km,14 mins
CS57,CS19,2.9 km,10 mins
CS57,CS20,3.4 km,11 mins
CS57,CS21,4.0 km,13 mins
CS57,CS22,3.8 km,13 mins
CS57,CS23,2.5 km,8 mins
CS57,CS24,2.5 km,8 mins
CS57,CS25,1.9 km,7 mins
CS57,CS26,4.5 km,15 mins
CS57,CS27,3.6 km,12 mins
CS57,CS28,5.1 km,17 mins
CS57,CS29,2.3 km,8 mins
CS57,CS30,3.4 km,12 mins
CS57,CS31,3.1 km,11 mins
CS57,CS32,2.9 km,11 mins
CS57,CS33,4.6 km,15 mins
CS57,CS34,3.9 km,13 mins
CS57,CS35,3.9 km,13 mins
CS57,CS36,2.7 km,9 mins
CS57,CS37,4.7 km,15 mins
CS57,CS38,2.0 km,8 mins
CS57,CS39,3.6 km,12 mins
CS57,CS40,2.2 km,9 mins
CS57,CS41,5.7 km,14 mins
CS57,CS42,6.1 km,13 mins
CS57,CS43,5.2 km,15 mins
CS57,CS44,5.6 km,16 mins
CS57,CS45,4.3 km,13 mins
CS57,CS46,5.5 km,15 mins
CS57,CS47,4.6 km,13 mins
CS57,CS48,4.5 km,13 mins
CS57,CS49,4.6 km,13 mins
CS57,CS50,4.7 km,13 mins
CS57,CS51,2.4 km,9 mins
CS57,CS52,2.7 km,10 mins
CS57,CS53,3.1 km,10 mins
CS57,CS54,1.9 km,7 mins
CS57,CS55,1.2 km,5 mins
CS57,CS56,1.8 km,7 mins
CS57,CS58,1.8 km,6 mins
CS57,CS59,1.1 km,5 mins
CS57,CS60,0.6 km,3 mins
CS57,CS61,1.2 km,5 mins
CS57,CS62,1.9 km,6 mins
CS57,CS63,8.8 km,21 mins
CS57,CS64,9.8 km,25 mins
CS57,CS65,2.7 km,8 mins
CS57,CS66,2.4 km,8 mins
CS57,CS67,3.0 km,9 mins
CS57,CS68,2.5 km,7 mins
CS57,CS69,3.8 km,11 mins
CS57,CS70,4.0 km,12 mins
CS57,CS71,2.1 km,7 mins
CS57,CS72,2.5 km,8 mins
CS57,CS73,2.7 km,8 mins
CS57,CS74,3.7 km,11 mins
CS57,CS75,4.0 km,11 mins
CS57,CS76,6.9 km,19 mins
CS57,CS77,7.6 km,19 mins
CS57,CS78,7.7 km,20 mins
CS57,CS79,5.0 km,16 mins
CS57,CS80,6.9 km,22 mins
CS57,CS81,4.8 km,15 mins
CS57,CS82,6.4 km,20 mins
CS57,CS83,6.0 km,20 mins
CS57,CS84,6.1 km,20 mins
CS57,CS85,6.5 km,17 mins
CS57,CS86,5.7 km,18 mins
CS57,CS87,7.7 km,23 mins
CS57,CS88,5.2 km,15 mins
CS57,CS89,5.9 km,17 mins
CS57,CS90,3.8 km,11 mins
CS57,CS91,5.4 km,15 mins
CS57,CS92,3.9 km,12 mins
CS57,CS93,3.9 km,12 mins
CS57,CS94,2.1 km,7 mins
CS57,CS95,3.9 km,14 mins
CS57,CS96,4.7 km,16 mins
CS57,CS97,2.9 km,10 mins
CS57,CS98,4.1 km,13 mins
CS57,CS99,3.3 km,12 mins
CS58,CS0,6.7 km,18 mins
CS58,CS1,9.2 km,21 mins
CS58,CS2,7.6 km,19 mins
CS58,CS3,10.2 km,24 mins
CS58,CS4,8.3 km,22 mins
CS58,CS5,6.3 km,16 mins
CS58,CS6,6.8 km,17 mins
CS58,CS7,7.3 km,19 mins
CS58,CS8,8.5 km,20 mins
CS58,CS9,8.8 km,21 mins
CS58,CS10,7.0 km,17 mins
CS58,CS11,1.9 km,5 mins
CS58,CS12,2.2 km,5 mins
CS58,CS13,4.7 km,11 mins
CS58,CS14,4.8 km,13 mins
CS58,CS15,4.6 km,13 mins
CS58,CS16,6.1 km,19 mins
CS58,CS17,5.0 km,15 mins
CS58,CS18,4.9 km,14 mins
CS58,CS19,3.4 km,10 mins
CS58,CS20,4.8 km,13 mins
CS58,CS21,4.4 km,14 mins
CS58,CS22,5.1 km,15 mins
CS58,CS23,2.9 km,8 mins
CS58,CS24,3.0 km,8 mins
CS58,CS25,3.3 km,9 mins
CS58,CS26,4.9 km,15 mins
CS58,CS27,4.1 km,12 mins
CS58,CS28,5.1 km,16 mins
CS58,CS29,2.7 km,8 mins
CS58,CS30,3.3 km,11 mins
CS58,CS31,3.5 km,12 mins
CS58,CS32,3.3 km,11 mins
CS58,CS33,5.0 km,15 mins
CS58,CS34,4.3 km,13 mins
CS58,CS35,4.3 km,13 mins
CS58,CS36,3.1 km,9 mins
CS58,CS37,5.1 km,15 mins
CS58,CS38,2.4 km,8 mins
CS58,CS39,3.7 km,12 mins
CS58,CS40,3.2 km,9 mins
CS58,CS41,4.4 km,10 mins
CS58,CS42,4.8 km,9 mins
CS58,CS43,6.5 km,17 mins
CS58,CS44,6.9 km,18 mins
CS58,CS45,5.7 km,15 mins
CS58,CS46,6.8 km,17 mins
CS58,CS47,5.9 km,15 mins
CS58,CS48,5.8 km,15 mins
CS58,CS49,3.8 km,10 mins
CS58,CS50,3.9 km,10 mins
CS58,CS51,2.3 km,7 mins
CS58,CS52,1.6 km,5 mins
CS58,CS53,2.8 km,9 mins
CS58,CS54,0.2 km,1 min
CS58,CS55,2.3 km,8 mins
CS58,CS56,1.6 km,6 mins
CS58,CS57,1.8 km,6 mins
CS58,CS59,2.2 km,7 mins
CS58,CS60,1.6 km,4 mins
CS58,CS61,1.1 km,4 mins
CS58,CS62,0.1 km,1 min
CS58,CS63,10.2 km,23 mins
CS58,CS64,11.2 km,27 mins
CS58,CS65,3.1 km,8 mins
CS58,CS66,2.9 km,8 mins
CS58,CS67,1.4 km,5 mins
CS58,CS68,1.0 km,4 mins
CS58,CS69,4.3 km,11 mins
CS58,CS70,3.1 km,8 mins
CS58,CS71,2.6 km,7 mins
CS58,CS72,3.0 km,8 mins
CS58,CS73,1.1 km,4 mins
CS58,CS74,2.9 km,8 mins
CS58,CS75,3.2 km,8 mins
CS58,CS76,6.8 km,20 mins
CS58,CS77,8.9 km,21 mins
CS58,CS78,7.7 km,21 mins
CS58,CS79,5.1 km,16 mins
CS58,CS80,7.4 km,22 mins
CS58,CS81,5.2 km,15 mins
CS58,CS82,6.8 km,20 mins
CS58,CS83,7.0 km,21 mins
CS58,CS84,6.2 km,19 mins
CS58,CS85,7.5 km,17 mins
CS58,CS86,6.5 km,20 mins
CS58,CS87,10.5 km,24 mins
CS58,CS88,6.2 km,15 mins
CS58,CS89,6.9 km,16 mins
CS58,CS90,4.8 km,11 mins
CS58,CS91,6.4 km,15 mins
CS58,CS92,4.3 km,14 mins
CS58,CS93,5.2 km,14 mins
CS58,CS94,3.5 km,9 mins
CS58,CS95,5.3 km,16 mins
CS58,CS96,5.5 km,17 mins
CS58,CS97,4.2 km,12 mins
CS58,CS98,5.4 km,15 mins
CS58,CS99,4.6 km,14 mins
CS59,CS0,4.7 km,14 mins
CS59,CS1,7.2 km,17 mins
CS59,CS2,5.6 km,15 mins
CS59,CS3,8.1 km,20 mins
CS59,CS4,6.2 km,17 mins
CS59,CS5,4.3 km,12 mins
CS59,CS6,4.8 km,13 mins
CS59,CS7,5.3 km,15 mins
CS59,CS8,6.4 km,16 mins
CS59,CS9,6.8 km,17 mins
CS59,CS10,4.9 km,13 mins
CS59,CS11,3.8 km,11 mins
CS59,CS12,4.1 km,11 mins
CS59,CS13,5.8 km,13 mins
CS59,CS14,7.3 km,15 mins
CS59,CS15,6.8 km,16 mins
CS59,CS16,5.6 km,16 mins
CS59,CS17,3.1 km,12 mins
CS59,CS18,3.1 km,12 mins
CS59,CS19,2.4 km,9 mins
CS59,CS20,2.7 km,8 mins
CS59,CS21,2.8 km,12 mins
CS59,CS22,3.1 km,11 mins
CS59,CS23,1.9 km,7 mins
CS59,CS24,1.9 km,6 mins
CS59,CS25,1.2 km,5 mins
CS59,CS26,4.0 km,13 mins
CS59,CS27,2.9 km,10 mins
CS59,CS28,6.1 km,18 mins
CS59,CS29,3.3 km,9 mins
CS59,CS30,4.0 km,13 mins
CS59,CS31,3.2 km,10 mins
CS59,CS32,3.9 km,11 mins
CS59,CS33,5.3 km,16 mins
CS59,CS34,4.1 km,13 mins
CS59,CS35,3.6 km,12 mins
CS59,CS36,3.9 km,10 mins
CS59,CS37,5.4 km,16 mins
CS59,CS38,3.0 km,8 mins
CS59,CS39,4.3 km,13 mins
CS59,CS40,2.2 km,8 mins
CS59,CS41,5.7 km,13 mins
CS59,CS42,5.1 km,14 mins
CS59,CS43,4.5 km,13 mins
CS59,CS44,4.9 km,13 mins
CS59,CS45,3.7 km,10 mins
CS59,CS46,4.8 km,13 mins
CS59,CS47,3.9 km,11 mins
CS59,CS48,3.8 km,11 mins
CS59,CS49,4.2 km,12 mins
CS59,CS50,4.3 km,12 mins
CS59,CS51,5.1 km,11 mins
CS59,CS52,3.5 km,11 mins
CS59,CS53,4.8 km,12 mins
CS59,CS54,2.0 km,7 mins
CS59,CS55,1.1 km,5 mins
CS59,CS56,3.0 km,8 mins
CS59,CS57,0.8 km,4 mins
CS59,CS58,2.0 km,6 mins
CS59,CS60,0.4 km,2 mins
CS59,CS61,2.0 km,8 mins
CS59,CS62,2.0 km,6 mins
CS59,CS63,8.2 km,19 mins
CS59,CS64,9.1 km,23 mins
CS59,CS65,2.1 km,7 mins
CS59,CS66,2.2 km,7 mins
CS59,CS67,3.0 km,9 mins
CS59,CS68,2.6 km,8 mins
CS59,CS69,3.2 km,10 mins
CS59,CS70,3.5 km,11 mins
CS59,CS71,1.5 km,6 mins
CS59,CS72,2.3 km,7 mins
CS59,CS73,3.0 km,9 mins
CS59,CS74,3.7 km,11 mins
CS59,CS75,3.5 km,11 mins
CS59,CS76,6.2 km,17 mins
CS59,CS77,6.9 km,17 mins
CS59,CS78,7.1 km,18 mins
CS59,CS79,5.3 km,16 mins
CS59,CS80,6.9 km,20 mins
CS59,CS81,5.0 km,15 mins
CS59,CS82,5.9 km,17 mins
CS59,CS83,6.1 km,19 mins
CS59,CS84,6.5 km,18 mins
CS59,CS85,7.0 km,18 mins
CS59,CS86,5.6 km,17 mins
CS59,CS87,7.7 km,22 mins
CS59,CS88,7.0 km,16 mins
CS59,CS89,7.7 km,18 mins
CS59,CS90,5.6 km,13 mins
CS59,CS91,7.2 km,17 mins
CS59,CS92,3.2 km,10 mins
CS59,CS93,3.2 km,10 mins
CS59,CS94,1.4 km,5 mins
CS59,CS95,3.3 km,12 mins
CS59,CS96,4.0 km,13 mins
CS59,CS97,2.2 km,8 mins
CS59,CS98,3.4 km,11 mins
CS59,CS99,2.6 km,9 mins
CS60,CS0,5.0 km,15 mins
CS60,CS1,7.5 km,18 mins
CS60,CS2,5.9 km,16 mins
CS60,CS3,8.4 km,21 mins
CS60,CS4,6.5 km,18 mins
CS60,CS5,4.6 km,13 mins
CS60,CS6,5.1 km,14 mins
CS60,CS7,5.6 km,16 mins
CS60,CS8,6.7 km,17 mins
CS60,CS9,7.1 km,18 mins
CS60,CS10,5.2 km,14 mins
CS60,CS11,3.4 km,9 mins
CS60,CS12,3.7 km,10 mins
CS60,CS13,6.2 km,15 mins
CS60,CS14,6.3 km,18 mins
CS60,CS15,6.2 km,17 mins
CS60,CS16,5.2 km,17 mins
CS60,CS17,4.0 km,13 mins
CS60,CS18,4.0 km,12 mins
CS60,CS19,2.5 km,8 mins
CS60,CS20,3.0 km,10 mins
CS60,CS21,3.5 km,12 mins
CS60,CS22,3.4 km,12 mins
CS60,CS23,2.0 km,6 mins
CS60,CS24,2.0 km,6 mins
CS60,CS25,1.5 km,6 mins
CS60,CS26,4.3 km,14 mins
CS60,CS27,3.2 km,11 mins
CS60,CS28,6.2 km,19 mins
CS60,CS29,3.3 km,10 mins
CS60,CS30,4.3 km,14 mins
CS60,CS31,3.5 km,11 mins
CS60,CS32,4.0 km,13 mins
CS60,CS33,5.7 km,17 mins
CS60,CS34,4.4 km,14 mins
CS60,CS35,3.9 km,13 mins
CS60,CS36,3.7 km,11 mins
CS60,CS37,5.8 km,17 mins
CS60,CS38,3.1 km,10 mins
CS60,CS39,4.7 km,14 mins
CS60,CS40,1.7 km,7 mins
CS60,CS41,5.5 km,12 mins
CS60,CS42,4.8 km,13 mins
CS60,CS43,4.8 km,14 mins
CS60,CS44,5.2 km,14 mins
CS60,CS45,4.0 km,11 mins
CS60,CS46,5.1 km,14 mins
CS60,CS47,4.2 km,12 mins
CS60,CS48,4.1 km,12 mins
CS60,CS49,3.9 km,11 mins
CS60,CS50,4.0 km,11 mins
CS60,CS51,3.8 km,12 mins
CS60,CS52,3.1 km,9 mins
CS60,CS53,3.6 km,12 mins
CS60,CS54,1.7 km,5 mins
CS60,CS55,0.9 km,4 mins
